shift_id,work_date,department,labor_hours,scheduled_staff
285,2025-02-17,Housekeeping,67.66,8
286,2025-02-17,Maintenance,25.21,3
287,2025-02-17,Sales,30.15,4
288,2025-02-17,Admin,26.35,3
289,2025-02-18,Rooms,70.85,9
290,2025-02-18,Food & Beverage,53.5,7
291,2025-02-18,Housekeeping,65.83,8
292,2025-02-18,Maintenance,20.01,3
293,2025-02-18,Sales,22.91,3
294,2025-02-18,Admin,31.61,4
295,2025-02-19,Rooms,60.06,8
296,2025-02-19,Food & Beverage,83.56,10
297,2025-02-19,Housekeeping,65.59,8
298,2025-02-19,Maintenance,33.13,4
299,2025-02-19,Sales,29.1,4
300,2025-02-19,Admin,31.73,4
301,2025-02-20,Rooms,64.96,8
302,2025-02-20,Food & Beverage,73.5,9
303,2025-02-20,Housekeeping,64.58,8
304,2025-02-20,Maintenance,24.77,3
305,2025-02-20,Sales,25.97,3
306,2025-02-20,Admin,27.4,3
307,2025-02-21,Rooms,65.02,8
308,2025-02-21,Food & Beverage,73.46,9
309,2025-02-21,Housekeeping,74.48,9
310,2025-02-21,Maintenance,26.82,3
311,2025-02-21,Sales,26.17,3
312,2025-02-21,Admin,24.21,3
313,2025-02-22,Rooms,72.76,9
314,2025-02-22,Food & Beverage,73.08,9
315,2025-02-22,Housekeeping,70.85,9
316,2025-02-22,Maintenance,22.99,3
317,2025-02-22,Sales,25.7,3
318,2025-02-22,Admin,28.63,4
319,2025-02-23,Rooms,66.43,8
320,2025-02-23,Food & Beverage,64.49,8
321,2025-02-23,Housekeeping,74.53,9
322,2025-02-23,Maintenance,29.86,4
323,2025-02-23,Sales,25.76,3
324,2025-02-23,Admin,27.2,3
325,2025-02-24,Rooms,69.79,9
326,2025-02-24,Food & Beverage,69.92,9
327,2025-02-24,Housekeeping,64.59,8
328,2025-02-24,Maintenance,35.32,4
329,2025-02-24,Sales,29.64,4
330,2025-02-24,Admin,28.93,4
331,2025-02-25,Rooms,65.09,8
332,2025-02-25,Food & Beverage,68.54,9
333,2025-02-25,Housekeeping,72.47,9
334,2025-02-25,Maintenance,31.43,4
335,2025-02-25,Sales,28.82,4
336,2025-02-25,Admin,27.81,3
337,2025-02-26,Rooms,72.01,9
338,2025-02-26,Food & Beverage,61.02,8
339,2025-02-26,Housekeeping,80.66,10
340,2025-02-26,Maintenance,27.82,3
341,2025-02-26,Sales,28.49,4
342,2025-02-26,Admin,34.91,4
343,2025-02-27,Rooms,75.83,9
344,2025-02-27,Food & Beverage,74.09,9
345,2025-02-27,Housekeeping,73.87,9
346,2025-02-27,Maintenance,29.82,4
347,2025-02-27,Sales,27.84,3
348,2025-02-27,Admin,29.9,4
349,2025-02-28,Rooms,60.83,8
350,2025-02-28,Food & Beverage,54.47,7
351,2025-02-28,Housekeeping,71.75,9
352,2025-02-28,Maintenance,22.87,3
353,2025-02-28,Sales,22.95,3
354,2025-02-28,Admin,25.65,3
355,2025-03-01,Rooms,55.92,7
356,2025-03-01,Food & Beverage,50.7,6
357,2025-03-01,Housekeeping,61.1,8
358,2025-03-01,Maintenance,22.99,3
359,2025-03-01,Sales,20.84,3
360,2025-03-01,Admin,21.99,3
361,2025-03-02,Rooms,45.54,6
362,2025-03-02,Food & Beverage,53.39,7
363,2025-03-02,Housekeeping,59.16,7
364,2025-03-02,Maintenance,20.48,3
365,2025-03-02,Sales,22.41,3
366,2025-03-02,Admin,18.16,2
367,2025-03-03,Rooms,54.22,7
368,2025-03-03,Food & Beverage,40.73,5
369,2025-03-03,Housekeeping,56.42,7
370,2025-03-03,Maintenance,20.29,3
371,2025-03-03,Sales,19.84,2
372,2025-03-03,Admin,19.75,2
373,2025-03-04,Rooms,57.87,7
374,2025-03-04,Food & Beverage,48.59,6
375,2025-03-04,Housekeeping,54.9,7
376,2025-03-04,Maintenance,24.46,3
377,2025-03-04,Sales,18.84,2
378,2025-03-04,Admin,21.56,3
379,2025-03-05,Rooms,43.23,5
380,2025-03-05,Food & Beverage,58.62,7
381,2025-03-05,Housekeeping,46.04,6
382,2025-03-05,Maintenance,20.31,3
383,2025-03-05,Sales,18.98,2
384,2025-03-05,Admin,23.34,3
385,2025-03-06,Rooms,57.67,7
386,2025-03-06,Food & Beverage,45.94,6
387,2025-03-06,Housekeeping,50.68,6
388,2025-03-06,Maintenance,18.11,2
389,2025-03-06,Sales,20.27,3
390,2025-03-06,Admin,19.51,2
391,2025-03-07,Rooms,60.38,8
392,2025-03-07,Food & Beverage,50.81,6
393,2025-03-07,Housekeeping,52.69,7
394,2025-03-07,Maintenance,24.33,3
395,2025-03-07,Sales,21.04,3
396,2025-03-07,Admin,22.44,3
397,2025-03-08,Rooms,65.86,8
398,2025-03-08,Food & Beverage,56.69,7
399,2025-03-08,Housekeeping,59.35,7
400,2025-03-08,Maintenance,21.81,3
401,2025-03-08,Sales,22.57,3
402,2025-03-08,Admin,20.79,3
403,2025-03-09,Rooms,44.57,6
404,2025-03-09,Food & Beverage,48.49,6
405,2025-03-09,Housekeeping,56.73,7
406,2025-03-09,Maintenance,22.36,3
407,2025-03-09,Sales,17.84,2
408,2025-03-09,Admin,23.71,3
409,2025-03-10,Rooms,46.16,6
410,2025-03-10,Food & Beverage,58.93,7
411,2025-03-10,Housekeeping,57.96,7
412,2025-03-10,Maintenance,24.95,3
413,2025-03-10,Sales,22.01,3
414,2025-03-10,Admin,23.96,3
415,2025-03-11,Rooms,65.67,8
416,2025-03-11,Food & Beverage,59.01,7
417,2025-03-11,Housekeeping,55.08,7
418,2025-03-11,Maintenance,19.97,2
419,2025-03-11,Sales,21.98,3
420,2025-03-11,Admin,22.08,3
421,2025-03-12,Rooms,60.82,8
422,2025-03-12,Food & Beverage,47.5,6
423,2025-03-12,Housekeeping,59.34,7
424,2025-03-12,Maintenance,20.6,3
425,2025-03-12,Sales,22.28,3
426,2025-03-12,Admin,24.17,3
427,2025-03-13,Rooms,54.31,7
428,2025-03-13,Food & Beverage,52.19,7
429,2025-03-13,Housekeeping,60.69,8
430,2025-03-13,Maintenance,24.18,3
431,2025-03-13,Sales,24.08,3
432,2025-03-13,Admin,20.62,3
433,2025-03-14,Rooms,53.22,7
434,2025-03-14,Food & Beverage,50.92,6
435,2025-03-14,Housekeeping,55.42,7
436,2025-03-14,Maintenance,20.33,3
437,2025-03-14,Sales,20.23,3
438,2025-03-14,Admin,24.22,3
439,2025-03-15,Rooms,55.52,7
440,2025-03-15,Food & Beverage,45.56,6
441,2025-03-15,Housekeeping,51.51,6
442,2025-03-15,Maintenance,23.4,3
443,2025-03-15,Sales,24.08,3
444,2025-03-15,Admin,18.88,2
445,2025-03-16,Rooms,51.68,6
446,2025-03-16,Food & Beverage,50.04,6
447,2025-03-16,Housekeeping,47.79,6
448,2025-03-16,Maintenance,23.61,3
449,2025-03-16,Sales,21.86,3
450,2025-03-16,Admin,19.65,2
451,2025-03-17,Rooms,61.61,8
452,2025-03-17,Food & Beverage,56.4,7
453,2025-03-17,Housekeeping,53.52,7
454,2025-03-17,Maintenance,21.36,3
455,2025-03-17,Sales,23.54,3
456,2025-03-17,Admin,18.12,2
457,2025-03-18,Rooms,68.23,9
458,2025-03-18,Food & Beverage,50.9,6
459,2025-03-18,Housekeeping,63.63,8
460,2025-03-18,Maintenance,22.56,3
461,2025-03-18,Sales,19.04,2
462,2025-03-18,Admin,21.95,3
463,2025-03-19,Rooms,57.69,7
464,2025-03-19,Food & Beverage,49.15,6
465,2025-03-19,Housekeeping,50.34,6
466,2025-03-19,Maintenance,21.67,3
467,2025-03-19,Sales,18.91,2
468,2025-03-19,Admin,23.06,3
469,2025-03-20,Rooms,47.78,6
470,2025-03-20,Food & Beverage,51.49,6
471,2025-03-20,Housekeeping,50.0,6
472,2025-03-20,Maintenance,20.88,3
473,2025-03-20,Sales,20.05,3
474,2025-03-20,Admin,22.6,3
475,2025-03-21,Rooms,57.29,7
476,2025-03-21,Food & Beverage,57.26,7
477,2025-03-21,Housekeeping,57.48,7
478,2025-03-21,Maintenance,22.42,3
479,2025-03-21,Sales,19.93,2
480,2025-03-21,Admin,18.51,2
481,2025-03-22,Rooms,56.58,7
482,2025-03-22,Food & Beverage,48.83,6
483,2025-03-22,Housekeeping,58.14,7
484,2025-03-22,Maintenance,24.68,3
485,2025-03-22,Sales,20.71,3
486,2025-03-22,Admin,22.69,3
487,2025-03-23,Rooms,49.57,6
488,2025-03-23,Food & Beverage,51.66,6
489,2025-03-23,Housekeeping,54.73,7
490,2025-03-23,Maintenance,20.68,3
491,2025-03-23,Sales,21.44,3
492,2025-03-23,Admin,20.13,3
493,2025-03-24,Rooms,53.82,7
494,2025-03-24,Food & Beverage,57.15,7
495,2025-03-24,Housekeeping,55.2,7
496,2025-03-24,Maintenance,21.73,3
497,2025-03-24,Sales,22.8,3
498,2025-03-24,Admin,22.84,3
499,2025-03-25,Rooms,60.62,8
500,2025-03-25,Food & Beverage,53.5,7
501,2025-03-25,Housekeeping,52.29,7
502,2025-03-25,Maintenance,18.75,2
503,2025-03-25,Sales,24.37,3
504,2025-03-25,Admin,20.41,3
505,2025-03-26,Rooms,50.69,6
506,2025-03-26,Food & Beverage,60.08,8
507,2025-03-26,Housekeeping,64.77,8
508,2025-03-26,Maintenance,24.2,3
509,2025-03-26,Sales,17.48,2
510,2025-03-26,Admin,23.15,3
511,2025-03-27,Rooms,56.21,7
512,2025-03-27,Food & Beverage,52.37,7
513,2025-03-27,Housekeeping,50.22,6
514,2025-03-27,Maintenance,21.45,3
515,2025-03-27,Sales,23.52,3
516,2025-03-27,Admin,19.83,2
517,2025-03-28,Rooms,52.58,7
518,2025-03-28,Food & Beverage,52.2,7
519,2025-03-28,Housekeeping,54.49,7
520,2025-03-28,Maintenance,19.61,2
521,2025-03-28,Sales,22.22,3
522,2025-03-28,Admin,23.64,3
523,2025-03-29,Rooms,53.87,7
524,2025-03-29,Food & Beverage,48.16,6
525,2025-03-29,Housekeeping,48.33,6
526,2025-03-29,Maintenance,20.35,3
527,2025-03-29,Sales,24.21,3
528,2025-03-29,Admin,23.04,3
529,2025-03-30,Rooms,54.55,7
530,2025-03-30,Food & Beverage,54.05,7
531,2025-03-30,Housekeeping,47.51,6
532,2025-03-30,Maintenance,18.72,2
533,2025-03-30,Sales,21.61,3
534,2025-03-30,Admin,24.79,3
535,2025-03-31,Rooms,60.88,8
536,2025-03-31,Food & Beverage,64.18,8
537,2025-03-31,Housekeeping,52.42,7
538,2025-03-31,Maintenance,23.41,3
539,2025-03-31,Sales,21.59,3
540,2025-03-31,Admin,22.82,3
541,2025-04-01,Rooms,60.63,8
542,2025-04-01,Food & Beverage,66.15,8
543,2025-04-01,Housekeeping,58.78,7
544,2025-04-01,Maintenance,22.01,3
545,2025-04-01,Sales,24.52,3
546,2025-04-01,Admin,27.41,3
547,2025-04-02,Rooms,60.65,8
548,2025-04-02,Food & Beverage,70.51,9
549,2025-04-02,Housekeeping,73.02,9
550,2025-04-02,Maintenance,22.35,3
551,2025-04-02,Sales,25.78,3
552,2025-04-02,Admin,22.66,3
553,2025-04-03,Rooms,64.12,8
554,2025-04-03,Food & Beverage,67.17,8
555,2025-04-03,Housekeeping,62.07,8
556,2025-04-03,Maintenance,27.44,3
557,2025-04-03,Sales,26.86,3
558,2025-04-03,Admin,25.46,3
559,2025-04-04,Rooms,69.54,9
560,2025-04-04,Food & Beverage,57.96,7
561,2025-04-04,Housekeeping,57.58,7
562,2025-04-04,Maintenance,19.08,2
563,2025-04-04,Sales,27.96,3
564,2025-04-04,Admin,24.07,3
565,2025-04-05,Rooms,60.28,8
566,2025-04-05,Food & Beverage,66.69,8
567,2025-04-05,Housekeeping,70.93,9
568,2025-04-05,Maintenance,23.79,3
569,2025-04-05,Sales,21.95,3
570,2025-04-05,Admin,27.3,3
571,2025-04-06,Rooms,59.7,7
572,2025-04-06,Food & Beverage,68.45,9
573,2025-04-06,Housekeeping,65.78,8
574,2025-04-06,Maintenance,24.77,3
575,2025-04-06,Sales,27.89,3
576,2025-04-06,Admin,22.75,3
577,2025-04-07,Rooms,58.76,7
578,2025-04-07,Food & Beverage,61.46,8
579,2025-04-07,Housekeeping,58.33,7
580,2025-04-07,Maintenance,23.75,3
581,2025-04-07,Sales,29.78,4
582,2025-04-07,Admin,29.02,4
583,2025-04-08,Rooms,67.82,8
584,2025-04-08,Food & Beverage,58.24,7
585,2025-04-08,Housekeeping,72.14,9
586,2025-04-08,Maintenance,23.82,3
587,2025-04-08,Sales,29.19,4
588,2025-04-08,Admin,24.99,3
589,2025-04-09,Rooms,65.62,8
590,2025-04-09,Food & Beverage,61.31,8
591,2025-04-09,Housekeeping,57.79,7
592,2025-04-09,Maintenance,25.46,3
593,2025-04-09,Sales,28.49,4
594,2025-04-09,Admin,25.71,3
595,2025-04-10,Rooms,61.88,8
596,2025-04-10,Food & Beverage,61.71,8
597,2025-04-10,Housekeeping,60.78,8
598,2025-04-10,Maintenance,20.76,3
599,2025-04-10,Sales,23.7,3
600,2025-04-10,Admin,20.26,3
601,2025-04-11,Rooms,55.68,7
602,2025-04-11,Food & Beverage,51.56,6
603,2025-04-11,Housekeeping,65.37,8
604,2025-04-11,Maintenance,24.1,3
605,2025-04-11,Sales,23.02,3
606,2025-04-11,Admin,24.82,3
607,2025-04-12,Rooms,74.52,9
608,2025-04-12,Food & Beverage,72.43,9
609,2025-04-12,Housekeeping,64.88,8
610,2025-04-12,Maintenance,25.06,3
611,2025-04-12,Sales,28.87,4
612,2025-04-12,Admin,24.16,3
613,2025-04-13,Rooms,56.91,7
614,2025-04-13,Food & Beverage,61.93,8
615,2025-04-13,Housekeeping,71.49,9
616,2025-04-13,Maintenance,28.9,4
617,2025-04-13,Sales,27.97,3
618,2025-04-13,Admin,28.59,4
619,2025-04-14,Rooms,56.66,7
620,2025-04-14,Food & Beverage,66.69,8
621,2025-04-14,Housekeeping,68.13,9
622,2025-04-14,Maintenance,26.74,3
623,2025-04-14,Sales,27.7,3
624,2025-04-14,Admin,28.45,4
625,2025-04-15,Rooms,69.78,9
626,2025-04-15,Food & Beverage,60.12,8
627,2025-04-15,Housekeeping,62.63,8
628,2025-04-15,Maintenance,24.22,3
629,2025-04-15,Sales,26.86,3
630,2025-04-15,Admin,24.72,3
631,2025-04-16,Rooms,63.4,8
632,2025-04-16,Food & Beverage,69.63,9
633,2025-04-16,Housekeeping,68.96,9
634,2025-04-16,Maintenance,22.95,3
635,2025-04-16,Sales,22.41,3
636,2025-04-16,Admin,22.57,3
637,2025-04-17,Rooms,56.44,7
638,2025-04-17,Food & Beverage,59.95,7
639,2025-04-17,Housekeeping,66.13,8
640,2025-04-17,Maintenance,25.42,3
641,2025-04-17,Sales,28.01,4
642,2025-04-17,Admin,32.76,4
643,2025-04-18,Rooms,56.82,7
644,2025-04-18,Food & Beverage,64.29,8
645,2025-04-18,Housekeeping,62.34,8
646,2025-04-18,Maintenance,27.99,3
647,2025-04-18,Sales,20.06,3
648,2025-04-18,Admin,25.18,3
649,2025-04-19,Rooms,68.04,9
650,2025-04-19,Food & Beverage,67.92,8
651,2025-04-19,Housekeeping,70.72,9
652,2025-04-19,Maintenance,30.44,4
653,2025-04-19,Sales,27.96,3
654,2025-04-19,Admin,29.5,4
655,2025-04-20,Rooms,64.97,8
656,2025-04-20,Food & Beverage,67.44,8
657,2025-04-20,Housekeeping,68.01,9
658,2025-04-20,Maintenance,25.05,3
659,2025-04-20,Sales,25.55,3
660,2025-04-20,Admin,22.9,3
661,2025-04-21,Rooms,69.06,9
662,2025-04-21,Food & Beverage,62.47,8
663,2025-04-21,Housekeeping,52.62,7
664,2025-04-21,Maintenance,23.21,3
665,2025-04-21,Sales,23.2,3
666,2025-04-21,Admin,27.38,3
667,2025-04-22,Rooms,60.97,8
668,2025-04-22,Food & Beverage,66.35,8
669,2025-04-22,Housekeeping,54.62,7
670,2025-04-22,Maintenance,24.37,3
671,2025-04-22,Sales,25.58,3
672,2025-04-22,Admin,27.98,3
673,2025-04-23,Rooms,65.37,8
674,2025-04-23,Food & Beverage,49.37,6
