invoice_id,booking_id,customer_id,invoice_date,due_date,payment_terms_days,room_revenue_jpy,ancillary_revenue_jpy,invoice_amount_jpy
112,112,1028,2025-01-04,2025-02-03,30,19766.0,4345.0,24111.0
113,113,1036,2025-01-04,2025-02-03,30,12957.0,2335.0,15292.0
114,114,1070,2025-01-06,2025-02-05,30,55962.0,19084.0,75046.0
115,115,1009,2025-01-08,2025-02-07,30,63745.0,17281.0,81026.0
116,116,1003,2025-01-06,2025-02-05,30,101496.0,23003.0,124499.0
117,117,1015,2025-01-04,2025-01-19,15,18094.0,4641.0,22735.0
118,118,1078,2025-01-04,2025-02-18,45,18495.0,5469.0,23964.0
119,119,1021,2025-01-06,2025-02-05,30,72240.0,22767.0,95007.0
120,120,1123,2025-01-04,2025-02-03,30,24145.0,3554.0,27699.0
121,121,1076,2025-01-07,2025-02-06,30,56232.0,8197.0,64429.0
122,122,1077,2025-01-05,2025-02-04,30,37608.0,11494.0,49102.0
123,123,1006,2025-01-06,2025-02-05,30,81690.0,18244.0,99934.0
124,124,1109,2025-01-05,2025-02-04,30,23452.0,4737.0,28189.0
125,125,1047,2025-01-05,2025-01-20,15,25230.0,8660.0,33890.0
126,126,1124,2025-01-06,2025-02-05,30,48597.0,8909.0,57506.0
127,127,1100,2025-01-05,2025-02-04,30,38688.0,7119.0,45807.0
128,128,1107,2025-01-05,2025-02-04,30,36136.0,12787.0,48923.0
129,129,1086,2025-01-05,2025-01-20,15,25308.0,8994.0,34302.0
130,130,1024,2025-01-05,2025-02-19,45,11335.0,2676.0,14011.0
131,131,1113,2025-01-06,2025-02-20,45,36066.0,13068.0,49134.0
132,132,1011,2025-01-05,2025-02-04,30,13989.0,3790.0,17779.0
133,133,1092,2025-01-06,2025-01-21,15,25440.0,6069.0,31509.0
134,134,1029,2025-01-07,2025-02-06,30,60213.0,15562.0,75775.0
135,135,1045,2025-01-05,2025-02-04,30,11776.0,1965.0,13741.0
136,136,1090,2025-01-07,2025-01-22,15,40776.0,8214.0,48990.0
137,137,1096,2025-01-05,2025-01-20,15,12492.0,4197.0,16689.0
138,138,1028,2025-01-07,2025-02-06,30,51417.0,8041.0,59458.0
139,139,1013,2025-01-05,2025-01-20,15,18527.0,2653.0,21180.0
140,140,1039,2025-01-05,2025-02-19,45,28735.0,8410.0,37145.0
141,141,1090,2025-01-06,2025-02-05,30,27836.0,9017.0,36853.0
142,142,1014,2025-01-06,2025-02-05,30,49774.0,9136.0,58910.0
143,143,1007,2025-01-06,2025-02-20,45,48194.0,6883.0,55077.0
144,144,1009,2025-01-08,2025-02-07,30,51544.0,17090.0,68634.0
145,145,1073,2025-01-05,2025-02-04,30,13193.0,2031.0,15224.0
146,146,1072,2025-01-05,2025-02-19,45,25680.0,6997.0,32677.0
147,147,1058,2025-01-06,2025-01-21,15,37344.0,5364.0,42708.0
148,148,1055,2025-01-05,2025-02-19,45,27733.0,4640.0,32373.0
149,149,1027,2025-01-06,2025-02-05,30,24994.0,7126.0,32120.0
150,150,1031,2025-01-05,2025-02-04,30,14832.0,2510.0,17342.0
151,151,1038,2025-01-05,2025-01-20,15,11357.0,2131.0,13488.0
152,152,1111,2025-01-05,2025-02-04,30,13066.0,3744.0,16810.0
153,153,1085,2025-01-07,2025-02-06,30,38952.0,7266.0,46218.0
154,154,1029,2025-01-05,2025-02-04,30,28693.0,4555.0,33248.0
155,155,1040,2025-01-08,2025-02-07,30,76796.0,23810.0,100606.0
156,156,1057,2025-01-07,2025-02-06,30,56355.0,8281.0,64636.0
157,157,1064,2025-01-07,2025-02-21,45,41298.0,12467.0,53765.0
158,158,1095,2025-01-06,2025-01-21,15,24460.0,3288.0,27748.0
159,159,1074,2025-01-05,2025-01-20,15,14519.0,2426.0,16945.0
160,160,1106,2025-01-05,2025-02-04,30,17737.0,3623.0,21360.0
161,161,1118,2025-01-05,2025-02-04,30,11206.0,1830.0,13036.0
162,162,1105,2025-01-09,2025-02-08,30,64605.0,20218.0,84823.0
163,163,1110,2025-01-05,2025-02-04,30,17304.0,4638.0,21942.0
164,164,1085,2025-01-06,2025-02-20,45,27910.0,4482.0,32392.0
165,165,1042,2025-01-07,2025-02-21,45,70833.0,11343.0,82176.0
166,166,1106,2025-01-07,2025-02-21,45,38688.0,10168.0,48856.0
167,167,1047,2025-01-07,2025-01-22,15,72552.0,14319.0,86871.0
168,168,1007,2025-01-06,2025-02-05,30,37784.0,11748.0,49532.0
169,169,1016,2025-01-06,2025-01-21,15,22400.0,7254.0,29654.0
170,170,1091,2025-01-06,2025-01-21,15,26488.0,7451.0,33939.0
171,171,1117,2025-01-06,2025-01-21,15,30560.0,6205.0,36765.0
172,172,1020,2025-01-08,2025-02-07,30,57576.0,20099.0,77675.0
173,173,1061,2025-01-07,2025-02-06,30,53970.0,7927.0,61897.0
174,174,1118,2025-01-06,2025-02-20,45,29098.0,7673.0,36771.0
175,175,1110,2025-01-07,2025-01-22,15,62082.0,14205.0,76287.0
176,176,1106,2025-01-08,2025-02-07,30,53560.0,9917.0,63477.0
177,177,1111,2025-01-07,2025-02-06,30,34041.0,10662.0,44703.0
178,178,1071,2025-01-06,2025-01-21,15,23870.0,4269.0,28139.0
179,179,1031,2025-01-06,2025-02-05,30,42450.0,8705.0,51155.0
180,180,1006,2025-01-05,2025-02-04,30,15376.0,4854.0,20230.0
181,181,1102,2025-01-06,2025-02-05,30,20862.0,2549.0,23411.0
182,182,1005,2025-01-09,2025-02-08,30,187110.0,69673.0,256783.0
183,183,1013,2025-01-09,2025-02-08,30,71140.0,11453.0,82593.0
184,184,1020,2025-01-07,2025-02-06,30,33174.0,8056.0,41230.0
185,185,1080,2025-01-08,2025-01-23,15,40323.0,10774.0,51097.0
186,186,1049,2025-01-07,2025-01-22,15,40296.0,6397.0,46693.0
187,187,1063,2025-01-07,2025-02-06,30,44184.0,13602.0,57786.0
188,188,1030,2025-01-06,2025-02-05,30,22203.0,7216.0,29419.0
189,189,1082,2025-01-07,2025-02-06,30,31932.0,8310.0,40242.0
190,190,1042,2025-01-06,2025-02-05,30,18291.0,2548.0,20839.0
191,191,1019,2025-01-06,2025-02-05,30,32794.0,5132.0,37926.0
192,192,1079,2025-01-07,2025-02-06,30,25834.0,3270.0,29104.0
193,193,1117,2025-01-07,2025-02-06,30,52872.0,16325.0,69197.0
194,194,1116,2025-01-06,2025-02-05,30,16288.0,4939.0,21227.0
195,195,1021,2025-01-09,2025-02-08,30,132640.0,38463.0,171103.0
196,196,1089,2025-01-09,2025-01-24,15,47452.0,17296.0,64748.0
197,197,1050,2025-01-08,2025-02-22,45,45348.0,11562.0,56910.0
198,198,1090,2025-01-06,2025-02-05,30,24228.0,4797.0,29025.0
199,199,1036,2025-01-10,2025-02-09,30,66535.0,23078.0,89613.0
200,200,1096,2025-01-09,2025-02-08,30,59372.0,13078.0,72450.0
201,201,1103,2025-01-09,2025-01-24,15,71464.0,22433.0,93897.0
202,202,1097,2025-01-08,2025-01-23,15,38796.0,10424.0,49220.0
203,203,1081,2025-01-08,2025-01-23,15,58320.0,21567.0,79887.0
204,204,1047,2025-01-07,2025-02-21,45,25426.0,9019.0,34445.0
205,205,1096,2025-01-06,2025-02-20,45,18028.0,2414.0,20442.0
206,206,1065,2025-01-06,2025-02-05,30,13339.0,3928.0,17267.0
207,207,1106,2025-01-08,2025-02-22,45,71841.0,21708.0,93549.0
208,208,1060,2025-01-10,2025-02-09,30,139045.0,44409.0,183454.0
209,209,1111,2025-01-06,2025-02-05,30,22642.0,3742.0,26384.0
210,210,1012,2025-01-08,2025-01-23,15,58392.0,18568.0,76960.0
211,211,1059,2025-01-06,2025-02-20,45,29489.0,3993.0,33482.0
212,212,1048,2025-01-08,2025-02-07,30,34773.0,13108.0,47881.0
213,213,1114,2025-01-06,2025-02-20,45,13632.0,4557.0,18189.0
214,214,1060,2025-01-06,2025-02-05,30,23576.0,7980.0,31556.0
215,215,1018,2025-01-06,2025-01-21,15,22999.0,4191.0,27190.0
216,216,1069,2025-01-06,2025-02-05,30,13202.0,4682.0,17884.0
217,217,1096,2025-01-07,2025-02-06,30,26288.0,5321.0,31609.0
218,218,1084,2025-01-07,2025-02-06,30,35902.0,7854.0,43756.0
219,219,1122,2025-01-07,2025-02-21,45,21132.0,6626.0,27758.0
220,220,1047,2025-01-08,2025-02-07,30,35856.0,4547.0,40403.0
221,221,1083,2025-01-08,2025-02-07,30,38709.0,5198.0,43907.0
222,222,1059,2025-01-07,2025-02-06,30,28128.0,7602.0,35730.0
223,223,1125,2025-01-06,2025-01-21,15,14014.0,4851.0,18865.0
224,224,1009,2025-01-08,2025-02-07,30,40701.0,13489.0,54190.0
225,225,1105,2025-01-07,2025-02-06,30,69124.0,8455.0,77579.0
226,226,1110,2025-01-06,2025-02-05,30,25424.0,5985.0,31409.0
227,227,1103,2025-01-10,2025-02-09,30,126055.0,31543.0,157598.0
228,228,1031,2025-01-08,2025-01-23,15,43290.0,16220.0,59510.0
229,229,1017,2025-01-06,2025-02-05,30,18642.0,5273.0,23915.0
230,230,1066,2025-01-07,2025-02-21,45,31748.0,9503.0,41251.0
231,231,1079,2025-01-07,2025-02-06,30,37560.0,12372.0,49932.0
232,232,1124,2025-01-08,2025-02-07,30,34620.0,12747.0,47367.0
233,233,1055,2025-01-10,2025-02-24,45,62495.0,21637.0,84132.0
234,234,1078,2025-01-07,2025-02-21,45,23137.0,8066.0,31203.0
235,235,1049,2025-01-07,2025-02-06,30,11277.0,4072.0,15349.0
236,236,1078,2025-01-08,2025-02-07,30,47336.0,12414.0,59750.0
237,237,1071,2025-01-09,2025-02-08,30,34443.0,12861.0,47304.0
238,238,1030,2025-01-07,2025-02-21,45,15907.0,5617.0,21524.0
239,239,1041,2025-01-09,2025-02-08,30,37614.0,11580.0,49194.0
240,240,1119,2025-01-08,2025-01-23,15,34272.0,5557.0,39829.0
241,241,1048,2025-01-07,2025-02-06,30,11129.0,2760.0,13889.0
242,242,1072,2025-01-08,2025-02-07,30,67934.0,19760.0,87694.0
243,243,1055,2025-01-09,2025-02-08,30,62568.0,22192.0,84760.0
244,244,1077,2025-01-09,2025-02-23,45,65592.0,20214.0,85806.0
245,245,1109,2025-01-07,2025-02-21,45,13304.0,2911.0,16215.0
246,246,1098,2025-01-09,2025-02-08,30,40827.0,12059.0,52886.0
247,247,1080,2025-01-07,2025-02-21,45,11047.0,1779.0,12826.0
248,248,1119,2025-01-08,2025-02-07,30,34920.0,8624.0,43544.0
249,249,1118,2025-01-09,2025-02-08,30,54108.0,14853.0,68961.0
250,250,1073,2025-01-07,2025-02-06,30,14347.0,3800.0,18147.0
251,251,1068,2025-01-07,2025-02-21,45,19036.0,4679.0,23715.0
252,252,1048,2025-01-08,2025-02-07,30,25144.0,5679.0,30823.0
253,253,1020,2025-01-07,2025-01-22,15,10924.0,1517.0,12441.0
254,254,1035,2025-01-08,2025-01-23,15,22916.0,8231.0,31147.0
255,255,1066,2025-01-08,2025-02-07,30,24090.0,8427.0,32517.0
256,256,1087,2025-01-08,2025-01-23,15,26024.0,7038.0,33062.0
257,257,1008,2025-01-08,2025-01-23,15,38364.0,11196.0,49560.0
258,258,1018,2025-01-07,2025-02-06,30,15520.0,5475.0,20995.0
259,259,1017,2025-01-07,2025-01-22,15,16838.0,2665.0,19503.0
260,260,1107,2025-01-09,2025-01-24,15,38004.0,11845.0,49849.0
261,261,1059,2025-01-08,2025-02-22,45,36642.0,8664.0,45306.0
262,262,1074,2025-01-10,2025-02-24,45,92544.0,11215.0,103759.0
263,263,1022,2025-01-08,2025-02-07,30,20942.0,2911.0,23853.0
264,264,1118,2025-01-08,2025-02-07,30,71936.0,17718.0,89654.0
265,265,1011,2025-01-08,2025-02-07,30,23418.0,3068.0,26486.0
266,266,1043,2025-01-07,2025-01-22,15,13053.0,3229.0,16282.0
267,267,1100,2025-01-07,2025-02-06,30,30540.0,9432.0,39972.0
268,268,1105,2025-01-09,2025-01-24,15,37569.0,9224.0,46793.0
269,269,1098,2025-01-07,2025-01-22,15,12920.0,2999.0,15919.0
270,270,1064,2025-01-07,2025-02-21,45,19152.0,6366.0,25518.0
271,271,1083,2025-01-08,2025-01-23,15,23546.0,8903.0,32449.0
272,272,1081,2025-01-08,2025-02-07,30,31274.0,8827.0,40101.0
273,273,1076,2025-01-08,2025-02-07,30,22852.0,3771.0,26623.0
274,274,1058,2025-01-08,2025-01-23,15,22646.0,8342.0,30988.0
275,275,1012,2025-01-09,2025-02-08,30,25754.0,4642.0,30396.0
276,276,1115,2025-01-09,2025-02-08,30,31886.0,8941.0,40827.0
277,277,1025,2025-01-11,2025-01-26,15,48200.0,9785.0,57985.0
278,278,1116,2025-01-09,2025-01-24,15,26176.0,9196.0,35372.0
279,279,1083,2025-01-12,2025-01-27,15,163280.0,58827.0,222107.0
280,280,1021,2025-01-08,2025-02-07,30,11507.0,3852.0,15359.0
281,281,1100,2025-01-11,2025-01-26,15,52428.0,18205.0,70633.0
282,282,1013,2025-01-09,2025-02-08,30,24850.0,3647.0,28497.0
283,283,1110,2025-01-09,2025-02-08,30,35932.0,12118.0,48050.0
284,284,1019,2025-01-11,2025-01-26,15,69708.0,10392.0,80100.0
285,285,1085,2025-01-08,2025-02-07,30,27617.0,10189.0,37806.0
286,286,1102,2025-01-09,2025-02-08,30,24580.0,6535.0,31115.0
287,287,1122,2025-01-08,2025-02-22,45,13566.0,4128.0,17694.0
288,288,1047,2025-01-10,2025-01-25,15,52383.0,7000.0,59383.0
289,289,1044,2025-01-08,2025-02-07,30,11807.0,3973.0,15780.0
290,290,1109,2025-01-09,2025-01-24,15,51654.0,12990.0,64644.0
291,291,1095,2025-01-09,2025-02-08,30,65970.0,14376.0,80346.0
292,292,1049,2025-01-08,2025-02-07,30,25410.0,4339.0,29749.0
293,293,1080,2025-01-08,2025-02-07,30,12116.0,2617.0,14733.0
294,294,1031,2025-01-08,2025-02-22,45,28922.0,6751.0,35673.0
295,295,1101,2025-01-09,2025-02-08,30,53830.0,16611.0,70441.0
296,296,1107,2025-01-09,2025-02-08,30,26120.0,5194.0,31314.0
297,297,1057,2025-01-10,2025-01-25,15,34764.0,9333.0,44097.0
298,298,1105,2025-01-08,2025-02-07,30,10054.0,2073.0,12127.0
299,299,1007,2025-01-09,2025-02-08,30,24396.0,8295.0,32691.0
300,300,1109,2025-01-11,2025-02-10,30,82704.0,29616.0,112320.0
301,301,1058,2025-01-08,2025-02-07,30,13826.0,2985.0,16811.0
302,302,1058,2025-01-08,2025-02-07,30,26654.0,8947.0,35601.0
303,303,1051,2025-01-11,2025-02-10,30,99304.0,33852.0,133156.0
304,304,1120,2025-01-08,2025-01-23,15,18151.0,6351.0,24502.0
305,305,1019,2025-01-10,2025-01-25,15,38463.0,14260.0,52723.0
306,306,1091,2025-01-08,2025-02-07,30,12466.0,3613.0,16079.0
307,307,1003,2025-01-09,2025-02-08,30,24256.0,6772.0,31028.0
308,308,1015,2025-01-10,2025-02-09,30,37419.0,10483.0,47902.0
309,309,1031,2025-01-08,2025-01-23,15,29077.0,5349.0,34426.0
310,310,1077,2025-01-10,2025-02-09,30,43005.0,15547.0,58552.0
311,311,1092,2025-01-09,2025-02-08,30,40900.0,11295.0,52195.0
312,312,1086,2025-01-09,2025-01-24,15,25424.0,8784.0,34208.0
313,313,1123,2025-01-09,2025-02-23,45,39850.0,10504.0,50354.0
314,314,1061,2025-01-09,2025-01-24,15,34038.0,7769.0,41807.0
315,315,1096,2025-01-09,2025-01-24,15,24628.0,8119.0,32747.0
316,316,1099,2025-01-10,2025-02-24,45,37494.0,4982.0,42476.0
317,317,1046,2025-01-10,2025-02-09,30,49023.0,18588.0,67611.0
318,318,1090,2025-01-10,2025-01-25,15,56100.0,9896.0,65996.0
319,319,1092,2025-01-08,2025-02-22,45,11538.0,1843.0,13381.0
320,320,1006,2025-01-09,2025-02-23,45,67708.0,15660.0,83368.0
321,321,1105,2025-01-08,2025-02-22,45,12833.0,2639.0,15472.0
322,322,1100,2025-01-08,2025-02-07,30,18900.0,5755.0,24655.0
323,323,1103,2025-01-10,2025-01-25,15,40611.0,8498.0,49109.0
324,324,1125,2025-01-12,2025-02-11,30,82712.0,23539.0,106251.0
325,325,1011,2025-01-11,2025-02-10,30,38649.0,5980.0,44629.0
326,326,1106,2025-01-09,2025-02-08,30,17291.0,5967.0,23258.0
327,327,1058,2025-01-09,2025-02-08,30,12252.0,2116.0,14368.0
328,328,1045,2025-01-10,2025-02-09,30,38976.0,11040.0,50016.0
329,329,1082,2025-01-11,2025-02-10,30,35514.0,10242.0,45756.0
330,330,1082,2025-01-12,2025-01-27,15,95484.0,14758.0,110242.0
331,331,1109,2025-01-10,2025-02-24,45,25572.0,4946.0,30518.0
332,332,1009,2025-01-11,2025-02-25,45,56139.0,8899.0,65038.0
333,333,1020,2025-01-10,2025-02-24,45,25794.0,4221.0,30015.0
334,334,1098,2025-01-12,2025-02-26,45,73128.0,20380.0,93508.0
335,335,1123,2025-01-09,2025-02-08,30,12328.0,2056.0,14384.0
336,336,1050,2025-01-11,2025-02-10,30,40206.0,12470.0,52676.0
337,337,1079,2025-01-09,2025-02-08,30,24899.0,5455.0,30354.0
338,338,1016,2025-01-12,2025-01-27,15,47904.0,14053.0,61957.0
339,339,1104,2025-01-09,2025-01-24,15,11857.0,2710.0,14567.0
340,340,1045,2025-01-11,2025-02-10,30,40431.0,14569.0,55000.0
341,341,1091,2025-01-10,2025-02-24,45,36268.0,7528.0,43796.0
342,342,1066,2025-01-10,2025-01-25,15,52854.0,11823.0,64677.0
343,343,1047,2025-01-13,2025-02-27,45,63740.0,13387.0,77127.0
344,344,1071,2025-01-10,2025-02-09,30,40224.0,7314.0,47538.0
345,345,1062,2025-01-12,2025-02-26,45,45440.0,11980.0,57420.0
346,346,1010,2025-01-11,2025-01-26,15,59388.0,15524.0,74912.0
347,347,1017,2025-01-09,2025-02-08,30,11457.0,4229.0,15686.0
348,348,1024,2025-01-11,2025-02-10,30,77460.0,10327.0,87787.0
349,349,1067,2025-01-09,2025-02-08,30,20278.0,2590.0,22868.0
350,350,1091,2025-01-09,2025-02-08,30,11243.0,3348.0,14591.0
351,351,1026,2025-01-12,2025-02-11,30,50252.0,12302.0,62554.0
352,352,1039,2025-01-10,2025-01-25,15,37966.0,10869.0,48835.0
353,353,1022,2025-01-09,2025-01-24,15,16773.0,3915.0,20688.0
354,354,1108,2025-01-11,2025-02-10,30,52026.0,16992.0,69018.0
355,355,1099,2025-01-09,2025-02-08,30,29602.0,10146.0,39748.0
356,356,1054,2025-01-11,2025-02-25,45,60456.0,21670.0,82126.0
357,357,1039,2025-01-09,2025-01-24,15,16376.0,3775.0,20151.0
358,358,1039,2025-01-11,2025-02-25,45,53412.0,14865.0,68277.0
359,359,1044,2025-01-11,2025-01-26,15,26190.0,6507.0,32697.0
360,360,1125,2025-01-10,2025-01-25,15,18110.0,6629.0,24739.0
361,361,1014,2025-01-12,2025-02-26,45,31950.0,8694.0,40644.0
362,362,1038,2025-01-11,2025-02-10,30,25312.0,3126.0,28438.0
363,363,1124,2025-01-13,2025-02-12,30,104852.0,32357.0,137209.0
364,364,1098,2025-01-10,2025-01-25,15,23752.0,6107.0,29859.0
